mine_id,subunit_cd,calendar_yr,annual_hrs,annual_coal_prod,avg_annual_empl,load_dt
0103047,99,2017,3372,0,1,2018-01-31 01:03:40.194064 -05:00
0103047,03,2017,18077,0,6,2018-01-31 01:03:39.665378 -05:00
0103055,99,2017,2543,0,2,2018-01-31 01:03:40.495772 -05:00
0103055,03,2017,5546,0,2,2018-01-31 01:03:40.213127 -05:00
0103055,30,2017,10849,0,5,2018-01-31 01:03:38.013132 -05:00
0103076,99,2017,5038,0,2,2018-01-31 01:03:38.875234 -05:00
0103076,30,2017,33739,0,15,2018-01-31 01:03:37.252955 -05:00
0103082,99,2017,28,0,1,2018-01-31 01:03:41.319598 -05:00
0103082,06,2017,4075,0,4,2018-01-31 01:03:38.081941 -05:00
0103084,99,2017,3299,0,2,2018-01-31 01:03:38.734351 -05:00
0103084,03,2017,12420,0,7,2018-01-31 01:03:36.415297 -05:00
0103087,99,2017,7275,0,3,2018-01-31 01:03:40.595741 -05:00
0103087,30,2017,27705,0,12,2018-01-31 01:03:38.150259 -05:00
0103087,03,2017,31648,0,14,2018-01-31 01:03:37.231154 -05:00
0103096,99,2017,2241,0,1,2018-01-31 01:03:41.214854 -05:00
0103096,03,2017,20078,0,9,2018-01-31 01:03:40.859713 -05:00
0103098,99,2017,1642,0,2,2018-01-31 01:03:38.917643 -05:00
0103098,03,2017,2709,0,3,2018-01-31 01:03:36.586498 -05:00
0103100,03,2017,22357,0,8,2018-01-31 01:03:40.870122 -05:00
0103100,99,2017,3693,0,1,2018-01-31 01:03:40.251847 -05:00
0103101,30,2017,19502,0,7,2018-01-31 01:03:38.775902 -05:00
0103130,03,2017,19263,0,8,2018-01-31 01:03:40.905420 -05:00
0103130,99,2017,2363,0,1,2018-01-31 01:03:36.393336 -05:00
0103135,30,2017,17406,0,8,2018-01-31 01:03:39.281504 -05:00
0103135,03,2017,5839,0,2,2018-01-31 01:03:38.708650 -05:00
0103135,99,2017,5413,0,2,2018-01-31 01:03:38.174149 -05:00
0103143,99,2017,8307,0,3,2018-01-31 01:03:35.931454 -05:00
0103143,30,2017,10177,0,5,2018-01-31 01:03:39.974341 -05:00
0103143,03,2017,7329,0,4,2018-01-31 01:03:37.652247 -05:00
0103149,99,2017,6286,0,3,2018-01-31 01:03:41.210643 -05:00
0103149,03,2017,45775,0,16,2018-01-31 01:03:37.496808 -05:00
0103154,99,2017,2011,0,2,2018-01-31 01:03:41.412967 -05:00
0103154,03,2017,19348,0,17,2018-01-31 01:03:39.397845 -05:00
0103154,30,2017,5200,0,2,2018-01-31 01:03:39.356519 -05:00
0103155,99,2017,10244,0,5,2018-01-31 01:03:37.719937 -05:00
0103155,30,2017,37844,0,15,2018-01-31 01:03:37.144801 -05:00
0103158,03,2017,14356,0,6,2018-01-31 01:03:40.494164 -05:00
0103158,99,2017,2423,0,1,2018-01-31 01:03:40.441990 -05:00
0103159,06,2017,18851,0,8,2018-01-31 01:03:37.469967 -05:00
0103159,99,2017,2210,0,1,2018-01-31 01:03:36.889874 -05:00
0103164,03,2017,9868,0,3,2018-01-31 01:03:40.844729 -05:00
0103164,99,2017,3098,0,1,2018-01-31 01:03:40.414543 -05:00
